8,277576	0,267657	7,944042	7,955253	7,963804	7,977033	7,984614	7,989438	8,006855	8,021404	8,042273	8,065642	8,085576	8,096533	8,107374	8,111959	8,135582	8,142917	8,165147	8,240757	8,282217	8,310877	8,326149	8,339698	8,407978	8,458642	8,482712	8,505663	8,538844	8,604435	8,614650	8,632273	8,665096	8,711318	8,718615	8,802211	0,000000	0,000000	0,000000	0,000000
8,208783	0,217368	7,949531	7,954245	7,961731	7,969731	7,982016	7,989795	7,990057	7,996730	8,003824	8,026573	8,065582	8,073203	8,149340	8,205557	8,210159	8,245647	8,266199	8,293427	8,301626	8,356572	8,384332	8,414032	8,422024	8,429776	8,455101	8,469808	8,584604	8,694709	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,343777	0,307510	7,949814	7,955120	7,963123	7,972579	7,990297	7,994903	8,004803	8,011464	8,063292	8,073989	8,080836	8,086256	8,095214	8,166486	8,173241	8,286633	8,303388	8,344856	8,399083	8,416352	8,505588	8,516776	8,554561	8,586514	8,616770	8,626053	8,634049	8,670451	8,700505	8,729222	8,757676	8,769612	8,807629	8,881274	0,000000	0,000000	0,000000	0,000000
8,280713	0,258332	7,948888	7,956580	7,961316	7,969732	7,978493	8,000763	8,008918	8,018665	8,032643	8,042914	8,046838	8,056898	8,126476	8,131949	8,165186	8,206746	8,247380	8,262986	8,275557	8,306986	8,317990	8,368377	8,379795	8,419300	8,444610	8,509259	8,523716	8,530109	8,553067	8,601228	8,631836	8,661648	8,669738	8,676148	8,792224	0,000000	0,000000	0,000000
8,261064	0,222312	7,953564	7,963864	7,976213	7,987261	7,997096	8,015115	8,025022	8,032504	8,037997	8,049540	8,055512	8,116746	8,144007	8,150778	8,177559	8,191162	8,198615	8,206827	8,228849	8,252272	8,275328	8,278118	8,288860	8,292704	8,307620	8,321415	8,343341	8,386726	8,440325	8,475096	8,507942	8,513856	8,530114	8,578647	8,589495	8,616817	8,636615	8,776919
8,173216	0,214672	7,937201	7,943005	7,956469	7,961200	7,973896	7,994841	8,005979	8,015015	8,020973	8,028708	8,038296	8,054428	8,103030	8,109611	8,118186	8,124177	8,183579	8,198325	8,220264	8,257014	8,297930	8,433570	8,454626	8,494265	8,574646	8,581630	8,595964	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,246035	0,236266	7,950310	7,964797	7,982584	7,990449	8,004157	8,012474	8,018057	8,029279	8,044626	8,064173	8,079127	8,087481	8,097793	8,120348	8,217840	8,236918	8,263253	8,291193	8,302768	8,370837	8,379948	8,392969	8,406764	8,428911	8,451118	8,591608	8,619668	8,632280	8,638511	8,710810	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,292826	0,274513	7,949997	7,963374	7,970823	7,974317	7,986048	7,995532	8,002324	8,008764	8,019720	8,027908	8,041066	8,048761	8,063590	8,086905	8,145905	8,198042	8,219426	8,257464	8,267228	8,283746	8,289347	8,394540	8,404818	8,418477	8,424695	8,433360	8,450211	8,456316	8,462643	8,544162	8,594962	8,655366	8,719888	8,737767	8,751083	8,774210	8,811792	0,000000
8,217321	0,242436	7,946785	7,958467	7,967218	7,971431	7,979423	7,987162	7,998098	8,009769	8,031147	8,043832	8,065925	8,074277	8,092166	8,125848	8,132552	8,136935	8,164329	8,177847	8,188609	8,200275	8,250439	8,320859	8,352126	8,372737	8,436832	8,519865	8,539999	8,568513	8,664840	8,696606	8,762054	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,305399	0,269375	7,946444	7,958136	7,962000	7,968990	7,983765	7,989996	8,004203	8,019553	8,035051	8,139325	8,147495	8,173127	8,181577	8,233342	8,242071	8,266164	8,274698	8,351502	8,358613	8,413933	8,424455	8,447399	8,463084	8,486314	8,509001	8,520628	8,589357	8,648213	8,709774	8,742435	8,755025	8,827096	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
