8,319157	0,305951	7,939265	7,945521	7,951187	7,961609	7,968789	7,978273	7,982667	7,991237	7,998584	8,010899	8,032672	8,040234	8,050287	8,069974	8,120002	8,162353	8,255609	8,344566	8,361112	8,375295	8,386232	8,459020	8,501670	8,546353	8,567810	8,588298	8,602132	8,608836	8,621819	8,627695	8,645658	8,653695	8,703885	8,719929	8,835808	8,880691	0,000000	0,000000	0,000000	0,000000	0,000000
8,318957	0,266705	7,953137	7,972791	7,997500	8,003023	8,008881	8,027787	8,034101	8,048486	8,082516	8,095645	8,104936	8,121689	8,157850	8,192044	8,221410	8,234451	8,244263	8,259014	8,267112	8,354115	8,393761	8,399766	8,430302	8,448400	8,467579	8,486099	8,531618	8,586069	8,601804	8,665364	8,700280	8,711790	8,776061	8,781804	8,802036	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,278479	0,289776	7,949409	7,958999	7,963727	7,972119	7,979461	7,985842	7,992142	8,000990	8,014366	8,029383	8,034896	8,066104	8,105304	8,120630	8,138991	8,159205	8,190742	8,200223	8,219326	8,264848	8,294772	8,310850	8,394206	8,402175	8,518839	8,528521	8,558079	8,636436	8,672059	8,686854	8,726070	8,753801	8,792311	8,846624	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,292584	0,282827	7,939196	7,950305	7,959582	7,971790	7,976671	7,982527	7,989743	8,000376	8,011597	8,017022	8,022538	8,037077	8,049441	8,061461	8,078895	8,097788	8,113156	8,129191	8,143339	8,147431	8,230264	8,285257	8,313073	8,320085	8,333927	8,440272	8,488408	8,534626	8,552660	8,566363	8,575119	8,599935	8,605099	8,618848	8,632567	8,662847	8,670670	8,707770	8,713200	8,729295	8,736531
8,295615	0,274106	7,938893	7,950805	7,957316	7,970165	7,978014	7,989957	7,996984	8,011383	8,023917	8,029787	8,041524	8,061676	8,122820	8,133092	8,156598	8,261075	8,351578	8,363991	8,376282	8,384250	8,398525	8,425782	8,432533	8,461111	8,466709	8,476597	8,506073	8,520877	8,630994	8,657414	8,682193	8,717233	8,765731	8,809034	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,213566	0,222837	7,947574	7,959499	7,966601	7,973998	7,995437	8,007867	8,019561	8,028041	8,045420	8,055349	8,061314	8,079029	8,089930	8,124178	8,130942	8,161114	8,167372	8,182607	8,210069	8,229382	8,239527	8,261915	8,272052	8,300621	8,364234	8,414984	8,427110	8,484089	8,622284	8,643029	8,654310	8,714669	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,305114	0,265879	7,947802	7,959941	7,970355	7,980466	7,995339	8,010618	8,043724	8,052958	8,075277	8,098763	8,117461	8,122833	8,130930	8,143183	8,163153	8,193170	8,205194	8,218641	8,229350	8,243670	8,262567	8,308969	8,315707	8,343195	8,394496	8,400228	8,411813	8,505316	8,519562	8,538771	8,546346	8,626319	8,668779	8,713312	8,740708	8,764200	8,782294	8,848929	0,000000	0,000000	0,000000
8,295861	0,294105	7,945261	7,952275	7,966594	7,975908	7,988089	7,997198	8,002585	8,012929	8,024864	8,036550	8,044380	8,075993	8,096636	8,112308	8,232703	8,265965	8,287614	8,362430	8,370234	8,433904	8,445312	8,488702	8,502277	8,519530	8,605092	8,656128	8,691037	8,739225	8,772684	8,778728	8,788544	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,265441	0,292904	7,939330	7,948000	7,956919	7,964615	7,972610	7,977643	7,992669	8,003118	8,011582	8,024628	8,034050	8,037787	8,061008	8,071899	8,087172	8,100356	8,137671	8,180246	8,203431	8,216648	8,265568	8,305225	8,324630	8,396456	8,418624	8,447893	8,458161	8,530754	8,661537	8,719407	8,734051	8,747112	8,771676	8,780124	8,807825	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,252747	0,277887	7,943078	7,954733	7,958911	7,968243	7,974965	7,992181	8,007695	8,014176	8,019238	8,025889	8,097533	8,102008	8,158696	8,227661	8,274570	8,293710	8,363204	8,370988	8,383332	8,420588	8,567223	8,605953	8,633784	8,697074	8,714128	8,801867	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
