8,295493	0,240821	7,945584	7,952699	7,970295	7,983185	7,991670	7,995046	8,004822	8,024464	8,082505	8,096571	8,187557	8,216916	8,265878	8,271908	8,296208	8,314407	8,324732	8,362335	8,377431	8,383893	8,423715	8,453313	8,478400	8,490782	8,526147	8,545220	8,556902	8,607803	8,649722	8,675488	8,704687	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,198785	0,187774	7,939259	7,955926	7,965404	7,973321	7,988093	7,996926	8,003682	8,012406	8,019868	8,027181	8,101095	8,124041	8,142467	8,155573	8,166678	8,185722	8,199092	8,211644	8,271804	8,304290	8,320072	8,351609	8,371390	8,384292	8,421184	8,438652	8,461905	8,471740	8,493260	8,504984	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,182984	0,197778	7,944623	7,950180	7,956966	7,972943	7,978156	7,986729	7,998009	8,010798	8,018388	8,037504	8,060273	8,067417	8,092129	8,104791	8,145467	8,170559	8,182069	8,194452	8,233498	8,260468	8,295794	8,299531	8,337435	8,347878	8,366235	8,388265	8,421721	8,428560	8,494143	8,744528	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,207318	0,228280	7,931560	7,938557	7,946083	7,956999	7,969429	7,981199	7,995309	7,998330	8,006060	8,014180	8,021899	8,028779	8,041761	8,121019	8,150668	8,161877	8,217075	8,281443	8,292770	8,314620	8,358795	8,412402	8,419468	8,454336	8,489286	8,500859	8,507208	8,531438	8,535635	8,640489	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,176549	0,173673	7,941656	7,951710	7,963926	7,973485	7,979370	7,992434	8,002786	8,015941	8,025441	8,040469	8,047197	8,067064	8,073272	8,094828	8,100093	8,118780	8,152572	8,158193	8,197247	8,210857	8,231836	8,253158	8,262188	8,271531	8,334809	8,343905	8,373395	8,386994	8,403558	8,446173	8,456829	8,467494	8,486933	0,000000	0,000000	0,000000	0,000000
8,266211	0,235377	7,946364	7,955753	7,968752	7,980088	7,996046	8,008792	8,014107	8,023272	8,036853	8,057202	8,071182	8,090671	8,121880	8,176153	8,201928	8,213897	8,257740	8,301178	8,314991	8,331803	8,371419	8,379094	8,446379	8,467576	8,473095	8,480485	8,489197	8,505673	8,549866	8,581983	8,624791	8,664390	8,682374	0,000000	0,000000	0,000000	0,000000
8,210439	0,214981	7,941200	7,949081	7,964533	7,976699	7,993133	8,000593	8,009068	8,015606	8,031732	8,036220	8,043208	8,055233	8,076469	8,121904	8,137495	8,162754	8,176607	8,202998	8,246079	8,312709	8,326555	8,345543	8,360875	8,374312	8,422346	8,452354	8,491460	8,528521	8,548034	8,579421	8,640867	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,237932	0,222358	7,954058	7,958972	7,975707	7,984892	7,988822	8,004512	8,014170	8,026955	8,036604	8,044460	8,051797	8,073353	8,085907	8,096204	8,101586	8,108111	8,115258	8,139814	8,213830	8,252611	8,259484	8,296584	8,307907	8,313927	8,374039	8,388031	8,395334	8,404338	8,411026	8,435663	8,446762	8,473453	8,510190	8,521803	8,571785	8,703462	8,762058
8,240064	0,225219	7,954681	7,962306	7,970553	7,977334	7,989342	8,003929	8,011302	8,018054	8,027064	8,045354	8,064019	8,082056	8,104036	8,118991	8,162197	8,228639	8,268517	8,292674	8,326308	8,345919	8,365893	8,376337	8,386355	8,396042	8,411368	8,425414	8,443465	8,459071	8,472505	8,540619	8,697480	8,754226	0,000000	0,000000	0,000000	0,000000	0,000000
8,198327	0,210108	7,944401	7,950165	7,958425	7,973299	7,990763	7,996770	8,012315	8,020524	8,026339	8,039771	8,055609	8,061308	8,068502	8,075453	8,110482	8,172723	8,185012	8,223753	8,267964	8,280474	8,300704	8,325175	8,379795	8,402811	8,459237	8,465893	8,478956	8,514751	8,598086	8,610353	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
