8,127998	0,166930	7,999996	8,014030	8,029659	8,044898	8,061773	8,084249	8,377959	8,411424	0,000000	0,000000	0,000000	0,000000	0,000000
8,212858	0,284948	8,006017	8,013874	8,031127	8,046835	8,053284	8,086073	8,301369	8,640533	8,736611	0,000000	0,000000	0,000000	0,000000
8,168083	0,221495	8,009496	8,014158	8,022493	8,028862	8,045473	8,051626	8,059578	8,121808	8,293338	8,299008	8,306676	8,764482	0,000000
8,072547	0,121751	7,989797	7,998471	8,014896	8,035660	8,044145	8,085982	8,338880	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,061759	0,085667	7,990712	8,006674	8,021407	8,026407	8,034334	8,040562	8,049080	8,116622	8,270034	0,000000	0,000000	0,000000	0,000000
8,217994	0,288388	8,007351	8,015865	8,030687	8,045158	8,055098	8,062018	8,100600	8,471069	8,616801	8,775297	0,000000	0,000000	0,000000
8,286514	0,236461	7,994937	8,006437	8,016475	8,036097	8,071564	8,246014	8,319589	8,346234	8,496693	8,510445	8,548916	8,551968	8,579314
8,013054	0,010561	8,002631	8,007932	8,014544	8,027107	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,215119	0,240010	8,010871	8,016169	8,035209	8,043020	8,048620	8,252312	8,418087	8,469298	8,642489	0,000000	0,000000	0,000000	0,000000
8,282479	0,309227	8,003575	8,026537	8,533464	8,566341	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
