NaN	-0,000000	0,000000	0,000000
8,544073	NaN	8,544073	0,000000
NaN	-0,000000	0,000000	0,000000
8,112831	0,087174	8,051189	8,174473
NaN	-0,000000	0,000000	0,000000
8,269291	0,009744	8,262401	8,276181
8,211163	0,265929	8,023122	8,399203
NaN	-0,000000	0,000000	0,000000
8,624059	0,015225	8,613293	8,634825
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
8,017722	NaN	8,017722	0,000000
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
8,310339	0,033657	8,286540	8,334138
NaN	-0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000
