8,190748	0,299226	7,923394	7,948163	7,963372	7,975191	7,997307	8,076347	8,108921	8,256044	8,422291	8,663387	8,763815	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,201253	0,259826	7,923475	7,938801	7,947163	7,962866	7,972415	7,983516	7,989090	8,000053	8,019966	8,028387	8,035575	8,053533	8,078760	8,095852	8,241142	8,294097	8,408339	8,434356	8,455599	8,482369	8,569151	8,604664	8,650404	8,660507
8,243630	0,278864	7,949710	7,957607	7,974035	7,991961	8,019914	8,060885	8,076348	8,089696	8,139296	8,495739	8,522398	8,545563	8,584439	8,596874	8,649978	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,199367	0,268088	7,932371	7,944440	7,953123	7,968068	7,982862	7,990015	8,022202	8,058916	8,111684	8,159236	8,238364	8,249056	8,372589	8,460402	8,486692	8,703013	8,756202	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,184713	0,231853	7,935172	7,944356	7,960276	7,966920	7,978851	7,998817	8,016029	8,023957	8,028551	8,048386	8,085654	8,148946	8,180063	8,198919	8,212004	8,303043	8,338924	8,372749	8,461066	8,568638	8,614990	8,677368	0,000000	0,000000
8,237256	0,248709	7,914907	7,929089	7,936793	7,966126	7,981953	7,998965	8,026285	8,060713	8,072039	8,082421	8,283375	8,330140	8,349251	8,358510	8,370872	8,399081	8,406397	8,441064	8,483349	8,498005	8,522852	8,807436	0,000000	0,000000
8,164788	0,232752	7,922233	7,929445	7,943611	7,957283	7,964455	7,973993	8,008565	8,016380	8,036946	8,043971	8,053469	8,070939	8,097107	8,289790	8,296625	8,320937	8,368219	8,407444	8,532244	8,579283	8,647598	0,000000	0,000000	0,000000
8,305459	0,271917	7,948865	7,956710	7,976993	7,997492	8,009648	8,062168	8,092093	8,150747	8,213610	8,222583	8,279584	8,383142	8,535300	8,560172	8,580293	8,607700	8,615337	8,623315	8,629335	8,664083	0,000000	0,000000	0,000000	0,000000
8,263635	0,279534	7,938169	7,948243	7,975492	8,009632	8,033175	8,039406	8,045697	8,076552	8,182261	8,190233	8,227784	8,267857	8,358113	8,401095	8,516696	8,669006	8,693764	8,704314	8,731573	0,000000	0,000000	0,000000	0,000000	0,000000
8,192937	0,265292	7,928153	7,941345	7,955997	7,962209	7,970104	7,978258	7,989965	7,996784	8,003292	8,012944	8,034965	8,092559	8,120990	8,187644	8,208202	8,225973	8,244295	8,257208	8,302982	8,472332	8,579085	8,662051	8,738731	8,764432
