8,310320	0,291737	7,967296	8,001899	8,191863	8,211076	8,499560	8,590916	8,709629
8,708399	0,407287	8,243490	8,378144	8,821332	8,834049	9,264979	0,000000	0,000000
8,386014	0,251980	8,185880	8,303177	8,668985	0,000000	0,000000	0,000000	0,000000
8,180172	0,302611	7,988829	8,004373	8,084828	8,109145	8,713688	0,000000	0,000000
8,124440	0,169883	8,004315	8,244566	0,000000	0,000000	0,000000	0,000000	0,000000
8,139692	0,124669	7,998817	8,018115	8,027838	8,170935	8,219790	8,225630	8,316720
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,361547	0,255427	8,023411	8,384182	8,394577	8,644017	0,000000	0,000000	0,000000
8,364218	0,131790	8,256908	8,324427	8,511318	0,000000	0,000000	0,000000	0,000000
8,535091	0,196126	8,396410	8,673773	0,000000	0,000000	0,000000	0,000000	0,000000
