8,225088	NaN	8,225088	0,000000	0,000000	0,000000
8,312641	NaN	8,312641	0,000000	0,000000	0,000000
8,638547	0,203532	8,434241	8,493521	8,797629	8,828797
8,303127	0,032172	8,266254	8,317651	8,325476	0,000000
8,417963	0,123390	8,302201	8,321190	8,511491	8,536968
8,794621	NaN	8,794621	0,000000	0,000000	0,000000
8,303449	0,299666	7,992257	8,328014	8,590077	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000
8,514405	0,309791	8,295350	8,733460	0,000000	0,000000
8,833705	NaN	8,833705	0,000000	0,000000	0,000000
