8,444032	0,174082	8,349718	8,354145	8,361101	8,375024	8,382758	8,390363	8,397639	8,415390	8,487864	8,926315
8,389834	0,035940	8,348963	8,355326	8,366781	8,389667	8,399586	8,421694	8,446818	0,000000	0,000000	0,000000
8,383942	0,022886	8,353393	8,360033	8,367611	8,380809	8,387888	8,397057	8,406012	8,418730	0,000000	0,000000
8,389652	0,042731	8,353165	8,359191	8,377358	8,384527	8,392248	8,471421	0,000000	0,000000	0,000000	0,000000
8,378981	0,030614	8,346224	8,355269	8,366026	8,371592	8,380029	8,395723	8,438007	0,000000	0,000000	0,000000
8,416438	0,080099	8,352593	8,363181	8,368539	8,381501	8,388599	8,395561	8,403661	8,419217	8,466764	8,624768
8,392175	0,040168	8,354734	8,360662	8,378266	8,381560	8,416591	8,461240	0,000000	0,000000	0,000000	0,000000
8,387744	0,034100	8,344569	8,351440	8,357731	8,372087	8,387716	8,398303	8,411487	8,423974	8,442394	0,000000
8,388501	0,035454	8,344540	8,351706	8,359005	8,375559	8,383269	8,390221	8,396895	8,403624	8,414249	8,465939
8,371754	0,017591	8,352051	8,360973	8,370000	8,377611	8,398136	0,000000	0,000000	0,000000	0,000000	0,000000
