8,370208	0,015915	8,356486	8,366483	8,387656	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,390572	0,022123	8,366880	8,394144	8,410692	0,000000	0,000000
8,369851	NaN	8,369851	0,000000	0,000000	0,000000	0,000000
8,418963	0,079221	8,361430	8,386138	8,509320	0,000000	0,000000
8,415403	0,104223	8,353205	8,363153	8,374038	8,571216	0,000000
8,384621	0,024990	8,366950	8,402291	0,000000	0,000000	0,000000
8,363468	0,005089	8,359869	8,367067	0,000000	0,000000	0,000000
8,401485	0,054832	8,362712	8,440257	0,000000	0,000000	0,000000
8,387356	0,034261	8,353633	8,362571	8,372875	8,417917	8,429783
