8,419482	NaN	8,419482	0,000000	0,000000	0,000000	0,000000	0,000000
8,370282	0,012970	8,352680	8,368916	8,377202	8,382328	0,000000	0,000000
8,385669	0,023054	8,363138	8,384657	8,409213	0,000000	0,000000	0,000000
8,384725	0,046593	8,344664	8,355174	8,365166	8,373041	8,397929	8,472376
8,387943	0,040332	8,349349	8,359963	8,375210	8,406061	8,449132	0,000000
8,361440	0,014386	8,351268	8,371613	0,000000	0,000000	0,000000	0,000000
8,408140	0,046999	8,364987	8,372510	8,433541	8,461524	0,000000	0,000000
8,385649	0,022026	8,358314	8,369181	8,377432	8,386462	8,407525	8,414983
8,372488	0,032131	8,339626	8,353920	8,367171	8,377766	8,423955	0,000000
8,377307	0,042496	8,344664	8,361899	8,425358	0,000000	0,000000	0,000000
