8,031325	0,063703	7,969545	7,985381	7,996416	8,006284	8,018556	8,027579	8,081624	8,165214
7,992347	0,030628	7,962302	7,968975	7,975133	7,981006	7,998667	8,009517	8,050828	0,000000
8,016218	0,054295	7,960511	7,978502	7,987196	8,020469	8,040900	8,109728	0,000000	0,000000
8,011444	0,044510	7,970931	7,978384	7,986682	8,005628	8,040053	8,086983	0,000000	0,000000
7,990014	0,047184	7,953806	7,963997	7,984010	8,058243	0,000000	0,000000	0,000000	0,000000
7,993008	0,025019	7,965999	7,997633	8,015392	0,000000	0,000000	0,000000	0,000000	0,000000
8,051488	0,073726	7,984705	8,008681	8,061508	8,151056	0,000000	0,000000	0,000000	0,000000
8,006589	0,041032	7,963731	7,978179	7,991590	7,998994	8,030210	8,076828	0,000000	0,000000
8,005843	0,050780	7,968894	7,984887	8,063747	0,000000	0,000000	0,000000	0,000000	0,000000
7,982436	0,020261	7,954931	7,971560	7,984363	7,993622	8,007703	0,000000	0,000000	0,000000
