8,260587	0,343386	7,962940	7,970027	7,977027	7,983374	7,995332	8,024745	8,037865	8,057573	8,147165	8,205199	8,292728	8,299834	8,359572	8,568293	8,633103	8,727252	9,187957	0,000000	0,000000	0,000000	0,000000
8,190153	0,223864	7,958559	7,967380	7,972999	7,982883	7,995749	8,007194	8,026290	8,041521	8,071423	8,228379	8,262504	8,332384	8,367684	8,390370	8,497225	8,553539	8,576526	0,000000	0,000000	0,000000	0,000000
8,242341	0,265353	7,953203	7,965594	7,982347	7,992571	8,006161	8,022634	8,049369	8,055873	8,081654	8,138126	8,306186	8,358829	8,492091	8,544843	8,578520	8,585835	8,622263	8,626030	0,000000	0,000000	0,000000
8,274395	0,291314	7,971185	7,979468	7,988999	8,001348	8,013998	8,028695	8,047390	8,062092	8,093372	8,105600	8,131502	8,167167	8,341030	8,421895	8,456277	8,534627	8,556197	8,583124	8,603898	8,820242	8,854181
8,246019	0,265436	7,965111	7,979173	7,986082	7,992490	8,008209	8,016253	8,038304	8,044380	8,055022	8,111643	8,150973	8,199584	8,342685	8,502880	8,519681	8,530750	8,569276	8,578080	8,644246	8,685566	0,000000
8,281522	0,228354	7,976532	7,982626	7,989581	8,009935	8,311321	8,317580	8,331787	8,455050	8,462626	8,478492	8,509160	8,553576	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,238078	0,256005	7,973640	7,980530	7,988781	7,999779	8,020572	8,034430	8,130888	8,153426	8,164392	8,337236	8,411847	8,561655	8,576354	8,604786	8,632848	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,277115	0,311404	7,966735	7,976626	8,043107	8,127174	8,160488	8,181687	8,636689	8,678999	8,722530	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,206909	0,219492	7,966803	7,982292	8,003449	8,027434	8,074159	8,106861	8,115423	8,130621	8,148774	8,235681	8,244079	8,254562	8,286729	8,359148	8,676596	8,697932	0,000000	0,000000	0,000000	0,000000	0,000000
8,253457	0,290433	7,964910	7,976221	7,981033	7,991337	7,997519	8,005923	8,013924	8,214570	8,486503	8,519822	8,541200	8,611938	8,618239	8,625250	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
