8,353464	0,271292	7,965293	7,975222	7,988187	8,006956	8,021329	8,042027	8,058481	8,066370	8,072942	8,087076	8,101544	8,113625	8,148567	8,166999	8,180143	8,221424	8,238183	8,273717	8,286467	8,308647	8,329677	8,346544	8,394964	8,405795	8,420346	8,438022	8,448261	8,452366	8,516732	8,547855	8,583206	8,622551	8,659116	8,687118	8,698229	8,711044	8,731275	8,749778	8,787489	8,806166	8,832304	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,298036	0,247589	7,954774	7,962855	7,984867	8,001472	8,011625	8,023853	8,027771	8,036539	8,059356	8,072140	8,102230	8,137419	8,160197	8,169878	8,183980	8,218591	8,229933	8,245695	8,255736	8,264066	8,271066	8,311065	8,317803	8,322072	8,330856	8,342188	8,421184	8,460144	8,513665	8,540927	8,561601	8,621494	8,627189	8,664248	8,693467	8,713730	8,730673	8,779033	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,296024	0,246612	7,958984	7,971118	7,977946	7,995065	8,016186	8,023014	8,030737	8,039924	8,056821	8,066371	8,083076	8,089774	8,101379	8,109555	8,131021	8,140546	8,154996	8,167101	8,187778	8,209051	8,240741	8,258425	8,276349	8,301871	8,340239	8,355316	8,376301	8,385862	8,391468	8,439380	8,458934	8,478968	8,496356	8,503857	8,514482	8,561720	8,565996	8,582556	8,607093	8,705059	8,762338	8,788457	8,826819	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,276812	0,269886	7,955072	7,960171	7,968256	7,979987	7,986848	7,995464	8,002764	8,011506	8,026434	8,034801	8,042389	8,087189	8,106788	8,112398	8,121422	8,131293	8,152197	8,169287	8,205080	8,238253	8,252062	8,268794	8,305935	8,378994	8,383995	8,408488	8,482668	8,490256	8,523450	8,539335	8,572742	8,586532	8,692461	8,743994	8,751335	8,763618	8,809791	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,371160	0,265585	7,955544	7,972031	7,979478	7,988883	7,994979	8,002727	8,007617	8,021228	8,037728	8,049531	8,124769	8,130089	8,201333	8,213177	8,227222	8,241554	8,266037	8,286326	8,302897	8,307601	8,339175	8,351868	8,364188	8,386359	8,402753	8,432643	8,448137	8,466703	8,474327	8,504160	8,528706	8,539583	8,551757	8,559579	8,571257	8,593221	8,620063	8,666950	8,675869	8,687979	8,697194	8,719631	8,746573	8,752280	8,822383	8,859251	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,336313	0,289123	7,953795	7,959762	7,967505	7,975386	7,983250	7,998203	8,009192	8,022720	8,036685	8,046288	8,084610	8,094479	8,109980	8,121277	8,137459	8,149923	8,157400	8,173021	8,198014	8,274079	8,292100	8,321047	8,336424	8,361523	8,395972	8,404959	8,428461	8,437808	8,452555	8,459534	8,496035	8,524050	8,575355	8,663051	8,670854	8,681493	8,696222	8,716737	8,737237	8,805943	8,834679	8,853461	8,862936	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,360356	0,281319	7,954486	7,965581	7,974241	7,980664	7,997115	8,017920	8,031497	8,041513	8,055750	8,078901	8,087780	8,111229	8,167262	8,187089	8,193823	8,225092	8,251861	8,318019	8,335834	8,452523	8,466281	8,478763	8,484780	8,492422	8,500775	8,510565	8,545901	8,563701	8,577517	8,591291	8,598717	8,610800	8,637805	8,646820	8,699028	8,705292	8,744160	8,852284	8,918810	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,325873	0,269174	7,957505	7,970292	7,977829	7,983432	7,996824	8,003247	8,010616	8,018322	8,048982	8,055484	8,066348	8,074175	8,083116	8,086592	8,095250	8,116602	8,138529	8,157033	8,165689	8,193661	8,214421	8,224119	8,231679	8,240801	8,258766	8,279055	8,287656	8,295387	8,309507	8,331126	8,339698	8,352407	8,357825	8,378699	8,436733	8,467352	8,488079	8,507433	8,513274	8,551730	8,590237	8,627945	8,651938	8,667499	8,710230	8,726939	8,736944	8,776123	8,781768	8,790530	8,797188	8,822775
8,347577	0,292747	7,949154	7,954229	7,966756	7,977359	7,983014	7,996798	8,003560	8,010815	8,018776	8,026043	8,063251	8,078840	8,103867	8,113302	8,137499	8,149476	8,190791	8,213170	8,230056	8,242978	8,274368	8,280179	8,312486	8,319506	8,351778	8,359023	8,367434	8,426251	8,439744	8,457189	8,469187	8,485031	8,524246	8,572118	8,597668	8,643252	8,660154	8,680098	8,687699	8,706087	8,786735	8,795256	8,832957	8,839328	8,852069	8,858975	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,378568	0,287332	7,956825	7,971360	7,977071	8,000000	8,003045	8,018918	8,026377	8,042585	8,078014	8,092217	8,106443	8,178323	8,186425	8,198840	8,217600	8,224762	8,239352	8,244846	8,253261	8,275337	8,283626	8,290872	8,340655	8,352665	8,364623	8,380331	8,449779	8,456814	8,488265	8,509154	8,526264	8,585361	8,599386	8,622317	8,633685	8,658544	8,716675	8,728505	8,737973	8,790820	8,803822	8,829247	8,835015	8,847125	8,912419	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
