Nions10	stderr10	rescaled10
0.72000003	0.089999996	32.14285714285715
1.74	0.12	0
0.73000002	0.11	28.928570662226
0.77999997	0.1	6.428571524364608
0.69	0.1	25.71428609745843
1.08	0.12	9.642857526029859
0.75999999	0.11	22.49999961682729
0.85000002	0.1	12.85714304872922
0.83999997	0.11	19.28571505205972
0.88999999	0.089999996	16.07142857142857
0.73000002	0.089999996	35.35714362348829
0.75	0.1	40.17857142857143
