8,423756	NaN	8,423756	0,000000	0,000000	0,000000	0,000000	0,000000
8,434116	NaN	8,434116	0,000000	0,000000	0,000000	0,000000	0,000000
8,450559	0,060988	8,403869	8,420161	8,438688	8,539519	0,000000	0,000000
8,432475	0,051835	8,391788	8,402739	8,410670	8,420205	8,435692	8,533757
8,418670	NaN	8,418670	0,000000	0,000000	0,000000	0,000000	0,000000
8,415646	0,018930	8,395474	8,408933	8,417651	8,440527	0,000000	0,000000
8,425428	0,027593	8,386686	8,426975	8,437360	8,450693	0,000000	0,000000
8,415066	0,009899	8,408067	8,422066	0,000000	0,000000	0,000000	0,000000
8,417163	0,011425	8,403914	8,412023	8,423147	8,429566	0,000000	0,000000
8,434263	0,041349	8,406933	8,414023	8,481833	0,000000	0,000000	0,000000
