8,382253	0,021843	8,356006	8,369797	8,379793	8,392556	8,413111	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,369110	0,015156	8,350603	8,364998	8,374338	8,386500	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,405961	0,069658	8,336972	8,343509	8,351586	8,365168	8,381939	8,393707	8,400921	8,415189	8,425780	8,473051	8,577745
8,389129	0,042276	8,340544	8,349199	8,359698	8,367755	8,384295	8,424002	8,440436	8,447101	0,000000	0,000000	0,000000
8,369900	0,026674	8,342861	8,349799	8,355248	8,360981	8,370488	8,391159	8,418761	0,000000	0,000000	0,000000	0,000000
8,390769	0,039845	8,339007	8,350410	8,357586	8,362213	8,374674	8,398873	8,409848	8,419239	8,443859	8,451977	0,000000
8,377922	0,025432	8,342976	8,352160	8,360589	8,372197	8,382941	8,395431	8,401389	8,415697	0,000000	0,000000	0,000000
8,375048	0,030832	8,338882	8,343400	8,355405	8,361357	8,373806	8,396360	8,411809	8,419368	0,000000	0,000000	0,000000
8,384048	0,037014	8,346976	8,360136	8,370123	8,405157	8,437849	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,386508	0,028061	8,358715	8,368559	8,378254	8,397244	8,429771	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
