8,389680	0,025841	8,369417	8,376940	8,385137	8,427226	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,374541	NaN	8,374541	0,000000	0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,369156	0,012688	8,360185	8,378128	0,000000	0,000000	0,000000
8,365784	0,014907	8,348504	8,356562	8,363386	8,373835	8,386631
8,387837	0,028095	8,366816	8,372976	8,377632	8,385107	8,436652
8,387126	0,015518	8,376154	8,398099	0,000000	0,000000	0,000000
8,371672	NaN	8,371672	0,000000	0,000000	0,000000	0,000000
8,393623	0,028993	8,359539	8,381332	8,388168	8,401146	8,437931
