8,384918	0,015291	8,372790	8,379870	8,402095	0,000000	0,000000
8,694373	0,031620	8,672014	8,716731	0,000000	0,000000	0,000000
8,392177	NaN	8,392177	0,000000	0,000000	0,000000	0,000000
8,391930	0,022208	8,376226	8,407633	0,000000	0,000000	0,000000
8,384604	0,016335	8,371576	8,379306	8,402931	0,000000	0,000000
8,415579	0,045759	8,377652	8,383052	8,389508	8,447398	8,480287
8,381366	NaN	8,381366	0,000000	0,000000	0,000000	0,000000
8,374924	NaN	8,374924	0,000000	0,000000	0,000000	0,000000
8,402501	0,029335	8,372965	8,384778	8,389140	8,421860	8,443760
8,375433	0,013224	8,361341	8,368322	8,381004	8,391066	0,000000
