8,415548	0,022985	8,393640	8,399893	8,412188	8,419587	8,452434	0,000000	0,000000	0,000000
8,389347	0,009729	8,382468	8,396227	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,546155	0,342683	8,397318	8,404682	8,411384	8,418709	8,428211	8,440175	9,322604	0,000000
8,419045	0,028949	8,396693	8,406037	8,412025	8,461424	0,000000	0,000000	0,000000	0,000000
8,424345	0,045806	8,393806	8,398305	8,413371	8,491898	0,000000	0,000000	0,000000	0,000000
8,413651	0,023021	8,379424	8,391722	8,406696	8,415324	8,425163	8,431642	8,445587	0,000000
8,417010	0,015357	8,403078	8,409529	8,417035	8,438399	0,000000	0,000000	0,000000	0,000000
8,409053	0,012582	8,395647	8,410906	8,420606	0,000000	0,000000	0,000000	0,000000	0,000000
8,441186	0,050249	8,395371	8,402801	8,409478	8,416415	8,427338	8,439673	8,511632	8,526782
8,417817	0,015855	8,400735	8,409998	8,423514	8,437020	0,000000	0,000000	0,000000	0,000000
