8,383802	0,044933	8,313573	8,326412	8,339654	8,345274	8,358538	8,374118	8,387824	8,399918	8,406755	8,416436	8,426363	8,440252	8,454309	0,000000	0,000000	0,000000	0,000000
8,376798	0,052676	8,296570	8,308693	8,323879	8,335274	8,343453	8,354708	8,365065	8,371234	8,378681	8,386887	8,393888	8,401751	8,409936	8,419769	8,430101	8,508885	0,000000
8,392924	0,055074	8,319932	8,324326	8,336896	8,349804	8,362388	8,369771	8,374949	8,384088	8,396735	8,406984	8,415758	8,427905	8,446678	8,454734	8,522905	0,000000	0,000000
8,384017	0,062042	8,305290	8,316790	8,326847	8,334464	8,341944	8,348599	8,362183	8,369388	8,375897	8,382471	8,393942	8,403692	8,411756	8,417549	8,426574	8,443480	8,567416
8,377322	0,050676	8,292081	8,316916	8,329950	8,342510	8,349783	8,363387	8,373011	8,395039	8,402787	8,413903	8,421695	8,448046	8,456082	0,000000	0,000000	0,000000	0,000000
8,400253	0,047381	8,320641	8,337010	8,355003	8,370273	8,379654	8,386234	8,393920	8,402815	8,409759	8,416045	8,432409	8,446674	8,470978	8,482120	0,000000	0,000000	0,000000
8,395436	0,046138	8,321640	8,328239	8,351535	8,367616	8,382436	8,390310	8,412067	8,421848	8,427177	8,432656	8,446791	8,462915	0,000000	0,000000	0,000000	0,000000	0,000000
8,373882	0,041954	8,310118	8,326506	8,336743	8,345727	8,352562	8,360438	8,366312	8,375847	8,387539	8,400767	8,418320	8,426196	8,453393	0,000000	0,000000	0,000000	0,000000
8,385073	0,047874	8,308251	8,326473	8,336924	8,346913	8,362965	8,375949	8,387681	8,395080	8,401410	8,419778	8,434292	8,453034	8,457198	0,000000	0,000000	0,000000	0,000000
8,411236	0,049763	8,328962	8,340340	8,352672	8,369686	8,385186	8,396777	8,407817	8,413665	8,421883	8,428438	8,439806	8,446034	8,462949	8,477878	8,496444	0,000000	0,000000
