8,406051	0,041020	8,372471	8,378540	8,384959	8,391604	8,403699	8,419118	8,491966	0,000000	0,000000	0,000000	0,000000	0,000000
8,414652	0,080377	8,353560	8,364998	8,375226	8,383629	8,390596	8,409770	8,436565	8,602870	0,000000	0,000000	0,000000	0,000000
8,404751	0,037358	8,361220	8,367364	8,373321	8,381071	8,386423	8,397607	8,404659	8,415037	8,435396	8,450875	8,479285	0,000000
8,397093	0,030598	8,356296	8,363703	8,371824	8,383534	8,388524	8,395596	8,406784	8,419837	8,438618	8,446217	0,000000	0,000000
8,410038	0,049337	8,363995	8,368999	8,375540	8,381331	8,387715	8,395797	8,402323	8,409884	8,414774	8,427340	8,446560	8,546202
8,417798	0,052841	8,355598	8,372398	8,385273	8,393223	8,399898	8,412604	8,426269	8,434012	8,457207	8,541502	0,000000	0,000000
8,421960	0,057535	8,372154	8,378565	8,386605	8,393660	8,399679	8,407009	8,416129	8,424327	8,481327	8,560142	0,000000	0,000000
8,407320	0,033827	8,359971	8,376675	8,389402	8,403515	8,411553	8,420271	8,427348	8,469822	0,000000	0,000000	0,000000	0,000000
8,423363	0,049469	8,359205	8,378729	8,400668	8,404967	8,424459	8,446036	8,457258	8,515580	0,000000	0,000000	0,000000	0,000000
8,403908	0,036332	8,355536	8,362336	8,370927	8,379103	8,394945	8,403651	8,412754	8,420924	8,426203	8,441490	8,475123	0,000000
