8,380017	0,027727	8,340029	8,350323	8,359185	8,373074	8,380410	8,387792	8,396635	8,406097	8,426607	0,000000
8,373286	0,024450	8,339279	8,351376	8,372989	8,381454	8,389200	8,405417	0,000000	0,000000	0,000000	0,000000
8,381820	0,033126	8,345396	8,358277	8,361905	8,368649	8,388903	8,410892	8,438721	0,000000	0,000000	0,000000
8,408403	0,081947	8,351894	8,359328	8,367454	8,380760	8,390687	8,402172	8,410034	8,604896	0,000000	0,000000
8,381076	0,019682	8,357703	8,367566	8,378931	8,395371	8,405809	0,000000	0,000000	0,000000	0,000000	0,000000
8,367112	0,022757	8,343202	8,352449	8,359615	8,381000	8,399294	0,000000	0,000000	0,000000	0,000000	0,000000
8,374485	0,019813	8,344159	8,361802	8,370989	8,371251	8,379048	8,386802	8,407342	0,000000	0,000000	0,000000
8,378347	0,023763	8,342840	8,350029	8,365830	8,373480	8,375593	8,376939	8,381208	8,388522	8,407385	8,421646
8,375942	0,023867	8,335359	8,351481	8,359549	8,365068	8,371710	8,381425	8,386724	8,394847	8,399935	8,413319
8,399963	0,046347	8,360621	8,369016	8,374701	8,384508	8,398718	8,416062	8,496113	0,000000	0,000000	0,000000
