8,472435	0,066806	8,378247	8,405167	8,414956	8,421144	8,453135	8,474529	8,491054	8,500980	8,513535	8,538555	8,605477	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,458019	0,069890	8,358446	8,365851	8,386847	8,406231	8,414965	8,423268	8,432137	8,442484	8,452539	8,460106	8,479556	8,499844	8,510181	8,517008	8,580557	8,598289	0,000000	0,000000	0,000000	0,000000
8,490663	0,077318	8,368839	8,385143	8,399318	8,415097	8,425603	8,435721	8,449329	8,461224	8,468646	8,476643	8,483149	8,494015	8,518309	8,525728	8,543349	8,551499	8,564082	8,581965	8,619052	8,646543
8,482104	0,077031	8,357618	8,375620	8,416418	8,422972	8,444273	8,449704	8,470969	8,477856	8,494320	8,528181	8,555592	8,575472	8,583222	8,597234	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,474596	0,070255	8,375047	8,387493	8,393852	8,402642	8,410220	8,424012	8,445537	8,458986	8,467311	8,470803	8,486859	8,498953	8,508141	8,512166	8,545424	8,550716	8,593511	8,611062	0,000000	0,000000
8,474148	0,058225	8,381103	8,389100	8,412398	8,418517	8,426325	8,443568	8,454874	8,470736	8,476899	8,482710	8,490711	8,496906	8,506537	8,526153	8,545962	8,563657	8,574363	0,000000	0,000000	0,000000
8,467611	0,074948	8,344345	8,366524	8,379852	8,390402	8,400331	8,414620	8,429118	8,440929	8,447961	8,461780	8,487039	8,496163	8,503515	8,516831	8,532212	8,539005	8,555102	8,572536	8,606342	0,000000
8,451658	0,057633	8,365559	8,377401	8,386715	8,399983	8,407701	8,422972	8,436439	8,447413	8,476134	8,479743	8,489407	8,499594	8,508457	8,528643	8,548703	0,000000	0,000000	0,000000	0,000000	0,000000
8,477194	0,074289	8,377229	8,384360	8,391025	8,403655	8,411843	8,420695	8,433327	8,441848	8,448648	8,468353	8,481937	8,488263	8,494483	8,509699	8,512997	8,534230	8,548084	8,559303	8,566870	8,667033
8,473920	0,082618	8,374128	8,381333	8,386833	8,395875	8,403771	8,412540	8,423996	8,435416	8,451880	8,464068	8,473533	8,481533	8,490442	8,499248	8,507514	8,518717	8,526145	8,550512	8,582612	8,718301
