1000	18.1	4.0999999	-0.059999999	1.2965338
0.1	4.3000002	2.5	0.5	0.79056942
900	17.799999	3.2	-0.44	1.0119289
500	19.5	4.5999999	0.059999999	1.4546477
250	17.799999	5.3000002	0.56999999	1.6760073
10	18.700001	3.2	-0.44	1.0119289
0.001	3.5	2.3	0.33000001	0.72732383
1	12	3.0999999	-0.22	0.98030603
0.0099999998	2	1.4	0	0.44271886
3	16.700001	4.9000001	0.44999999	1.5495161
30	17.4	4.5	0.18000001	1.4230249
0.029999999	2.5	2.0999999	0.70999998	0.6640783
0	1.7	1.4	0.18000001	0.44271886
0.30000001	10.2	3.2	0	1.0119289
0.003	4.3000002	2.8	0.75999999	0.88543773
0.003	2.5999999	1.2	-0.47	0.37947333
-1	1.1	1.2	0.30000001	0.37947333
-10	0	0	0	0
90	18	4.8000002	0.27000001	1.5178933
-5	0	0	0	0
-0.1	3.4000001	1.9	0.059999999	0.60083276
-0.5	2.5999999	1.8	0.30000001	0.56920999
-0.80000001	1	0.89999998	-0.11	0.284605
-2	0.1	0.30000001	0	0.094868332
