NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,397922	0,028433	8,369163	8,372012	8,401547	8,408965	8,437924
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,385622	NaN	8,385622	0,000000	0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,378098	NaN	8,378098	0,000000	0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
NaN	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
8,405535	0,021175	8,380173	8,396264	8,420011	8,425694	0,000000
