2	4.7399998	2.4000001	0.17	0.24000001
0.5	1.61	1.3	0.1	0.13
12	1.99	1.5	0.17	0.15000001
3	3.1199999	1.9	0.15000001	0.19
10	2.0799999	1.6	0.23999999	0.16
2.5	3.52	1.9	0.050000001	0.19
0	0	0	0	0
8	2.4300001	1.8	0.40000001	0.17999999
2.25	3.8	2.3	0.38	0.22999999
6	2.0899999	1.7	0.38	0.17
4	2.73	1.8	0.15000001	0.17999999
13	4.4000001	2	-0.059999999	0.2
23	2.05	1.5	0.17	0.15000001
13.5	3.1600001	2	0.23999999	0.2
21	2.0699999	1.5	0.07	0.15000001
12.5	2.96	1.8	0.059999999	0.17999999
19	2.3099999	1.5	-0.059999999	0.15000001
14	2.98	2	0.33000001	0.2
17	2.0699999	1.9	0.67000002	0.19
15	2.4300001	1.8	0.34999999	0.17999999
1	2.1300001	1.9	0.75	0.19
13.25	3.3900001	2.2	0.47999999	0.22
1.5	3.8299999	2.4000001	0.47999999	0.24000001
5	2.53	1.9	0.47	0.19
7	2.1500001	1.5	0.039999999	0.15000001
14.5	2.8599999	2	0.38	0.2
16	2.3599999	1.6	0.13	0.16
18	2.3599999	1.8	0.38999999	0.17999999
